cell_name,count
A0,1
A1,3
A2,9
A3,4
A4,4
A5,5
A6,6
A7,5
A8,4
A9,1
B0,3
B1,4
B2,6
B3,2
B4,4
B5,4
B6,1
B7,4
B8,4
B9,3
C0,2
C1,4
C2,4
C3,5
C4,3
C5,2
C6,8
C7,3
C8,7
C9,2
D0,5
D1,3
D2,2
D3,3
D4,4
D5,2
D6,4
D7,5
D8,4
D9,4
E0,3
E1,2
E2,4
E3,5
E4,3
E5,3
E6,2
E7,4
E8,1
E9,3
F0,5
F1,3
F2,6
F3,2
F4,2
F5,4
F6,4
F7,2
F8,2
F9,5
G0,2
G1,0
G2,4
G3,3
G4,5
G5,2
G6,1
G7,4
G8,3
G9,5
H0,6
H1,6
H2,2
H3,5
H4,2
H5,2
H6,1
H7,2
H8,3
H9,3
I0,1
I1,1
I2,3
I3,2
I4,1
I5,3
I6,6
I7,3
I8,4
I9,4
J0,2
J1,4
J2,9
J3,6
J4,5
J5,4
J6,8
J7,4
J8,3
J9,6
